<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.02.26	09:20:00	131.212	131.227	131.075	131.194	4020	0	8
2018.02.26	09:40:00	131.192	131.314	131.182	131.259	3839	0	9
2018.02.26	10:00:00	131.260	131.493	131.259	131.460	4261	0	8
2018.02.26	10:20:00	131.459	131.483	131.295	131.307	3953	0	8
2018.02.26	10:40:00	131.311	131.449	131.294	131.395	3048	0	9
2018.02.26	11:00:00	131.394	131.517	131.390	131.492	3304	0	8
2018.02.26	11:20:00	131.492	131.592	131.423	131.585	3007	0	9
2018.02.26	11:40:00	131.583	131.601	131.532	131.571	3194	0	8
2018.02.26	12:00:00	131.567	131.607	131.538	131.566	2655	0	8
2018.02.26	12:20:00	131.566	131.594	131.525	131.587	2125	0	8
2018.02.26	12:40:00	131.587	131.688	131.569	131.592	2828	0	8
2018.02.26	13:00:00	131.591	131.618	131.555	131.575	2192	0	8
2018.02.26	13:20:00	131.576	131.605	131.555	131.562	2124	0	10
2018.02.26	13:40:00	131.563	131.732	131.559	131.696	2422	0	8
2018.02.26	14:00:00	131.695	131.744	131.627	131.654	3083	0	8
2018.02.26	14:20:00	131.655	131.679	131.548	131.584	2648	0	8
2018.02.26	14:40:00	131.584	131.609	131.537	131.537	2663	0	8
2018.02.26	15:00:00	131.536	131.631	131.522	131.562	3393	0	8
2018.02.26	15:20:00	131.563	131.647	131.548	131.606	3108	0	8
2018.02.26	15:40:00	131.605	131.624	131.485	131.485	3484	0	8
2018.02.26	16:00:00	131.477	131.577	131.473	131.574	3166	0	8
2018.02.26	16:20:00	131.575	131.659	131.547	131.647	3863	0	8
2018.02.26	16:40:00	131.646	131.682	131.532	131.561	3761	0	8
2018.02.26	17:00:00	131.561	131.564	131.305	131.396	5212	0	8
2018.02.26	17:20:00	131.392	131.444	131.339	131.373	3999	0	8
2018.02.26	17:40:00	131.374	131.476	131.356	131.411	4341	0	8
2018.02.26	18:00:00	131.411	131.522	131.374	131.522	4152	0	8
2018.02.26	18:20:00	131.523	131.626	131.512	131.557	3368	0	8
2018.02.26	18:40:00	131.557	131.569	131.491	131.501	2800	0	8
2018.02.26	19:00:00	131.502	131.636	131.502	131.627	2915	0	8
2018.02.26	19:20:00	131.628	131.662	131.622	131.648	2179	0	8
2018.02.26	19:40:00	131.649	131.733	131.624	131.691	1979	0	9
2018.02.26	20:00:00	131.690	131.703	131.657	131.657	1699	0	8
2018.02.26	20:20:00	131.657	131.720	131.657	131.686	1579	0	9
2018.02.26	20:40:00	131.685	131.694	131.648	131.671	1299	0	9
2018.02.26	21:00:00	131.670	131.705	131.667	131.682	1375	0	10
2018.02.26	21:20:00	131.682	131.706	131.667	131.701	1579	0	9
2018.02.26	21:40:00	131.701	131.701	131.608	131.622	1918	0	8
2018.02.26	22:00:00	131.624	131.707	131.617	131.667	2346	0	8
2018.02.26	22:20:00	131.668	131.684	131.641	131.678	1615	0	8
2018.02.26	22:40:00	131.677	131.692	131.628	131.655	1891	0	9
2018.02.26	23:00:00	131.652	131.727	131.633	131.714	1093	0	8
